epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
93,10/29 11:42:03,492,-69815.32523921214,0.07354606688022614,0.09582792222499847,28.57092782252974,False,True,-412196.28125
94,10/29 11:42:54,4343,-59146.554023814715,0.0509602427482605,-0.015227669849991798,2.8899335744492713,False,True,-1655255.875
95,10/29 11:43:04,668,-64623.805378198456,0.03494694456458092,0.019202494993805885,25.890285739644057,False,True,-1193434.375
96,10/29 11:43:50,3883,-82464.16064741186,0.10985277593135834,-0.13859957456588745,3.3174350630663394,False,True,-2868638.25
97,10/29 11:43:58,687,-58957.2784387477,0.05062471330165863,-0.00013930394197814167,24.83878542976319,False,True,-1167808.25
98,10/29 11:44:01,255,-53217.71406529191,-0.1317252814769745,0.07118895649909973,21.3654523960534,False,True,-879103.8125
99,10/29 11:44:09,704,-75652.12175291221,0.010038801468908787,-0.09295237809419632,12.183234421631061,False,True,-912421.4375
100,10/29 11:44:13,367,-57998.19575298585,-0.09514307975769043,0.11841200292110443,21.876156905337016,False,True,-2492517.5
101,10/29 11:44:20,603,-66787.34535694629,-0.023006819188594818,-0.03822900354862213,19.04902313172824,False,True,-1090658.0
102,10/29 11:45:06,4180,-56891.261809513875,-0.05292869731783867,-0.140227273106575,3.401610276439163,False,True,-294535.34375
103,10/29 11:45:16,626,-50701.560651864565,-0.08766752481460571,0.009353338740766048,5.357356303510984,False,True,-647412.25
104,10/29 11:45:21,302,-54842.49129560525,-0.12209407240152359,-0.022897670045495033,18.363856476315956,False,True,-378245.625
105,10/29 11:45:30,668,-65595.62939934694,0.03146424517035484,0.016291892156004906,19.35541144142788,False,True,-1373554.0
106,10/29 11:45:47,1408,-87924.18001468887,0.07678727060556412,0.11079956591129303,3.722656413355998,False,True,-468711.875
107,10/29 11:45:55,499,-70557.36564348526,0.0739554762840271,0.10936975479125977,16.37387415603251,False,True,-384875.375
108,10/29 11:46:04,794,-81058.4632856751,0.12988176941871643,-0.013064966537058353,22.155207961801676,False,True,-693893.8125
109,10/29 11:46:12,797,-71461.96175084784,0.05497736856341362,-0.042695898562669754,11.069220056927444,False,True,-5818681.5
110,10/29 11:46:20,520,-57630.226009635015,-0.04927174374461174,-0.007458552718162537,22.006827639542227,False,True,-1015863.3125
111,10/29 11:46:30,513,-68323.58583600978,0.021700160577893257,0.09096350520849228,24.71222429935465,False,True,-606438.5
112,10/29 11:46:40,563,-69291.62970628074,-0.05293578281998634,0.03486455976963043,12.265462079774942,False,True,-3834363.25
113,10/29 11:46:52,737,-62680.49999961041,-0.05763336271047592,0.05719531700015068,5.88218638739298,False,True,-143091232.0
114,10/29 11:47:00,540,-61419.32268947152,0.030077457427978516,0.08203957974910736,18.46149776545948,False,True,-547814.375
115,10/29 11:47:09,557,-57815.40847973165,-0.09947022795677185,-0.1018182560801506,6.01096712061785,False,True,-287226.59375
116,10/29 11:47:22,745,-55600.936016817664,-0.0923180803656578,-0.03202487528324127,5.1299456085967705,False,True,-447157.90625
117,10/29 11:47:29,301,-50883.4633047148,-0.12830333411693573,0.07987488806247711,9.550554180392568,False,True,-1050693.75
118,10/29 11:48:47,5000,1663.0049718473383,0.0554724782705307,-0.018585672602057457,1.0823479094473818,False,True,45084.0078125
119,10/29 11:48:59,608,-70670.25086152363,0.04637515917420387,0.08219890296459198,26.845216631098868,False,True,-549646.25
120,10/29 11:49:10,617,-70581.62153491448,-0.037767935544252396,0.08281160145998001,9.97818813353768,False,True,-1566960.0
121,10/29 12:04:41,1140,-52031.90170103483,-0.1106644719839096,-0.08269160985946655,29.48731383346127,False,True,-269098.875
122,10/29 12:05:22,2541,-46675.041442031805,0.058111805468797684,0.057130035012960434,5.927440593760974,False,True,-405018.1875
123,10/29 12:06:44,5000,-25791.154182897604,0.08434485644102097,0.07814232259988785,3.030803397228874,False,True,-158727.3125
124,10/29 12:07:25,2421,-47516.21544690605,0.006967398803681135,0.038585878908634186,8.36125707064265,False,True,-1043091.0
125,10/29 12:07:41,964,-59432.06099277256,0.13172675669193268,-0.03192515671253204,20.950980998030264,False,True,-595502.125
126,10/29 12:07:56,800,-71774.35849038689,0.12313814461231232,0.05605139955878258,20.065768356217884,False,True,-400549.90625
127,10/29 12:08:16,1139,-66952.23835114107,0.032293785363435745,-0.08718317002058029,20.50392621845483,False,True,-1219766.625
128,10/29 12:08:39,1134,-54143.28346082148,0.08740806579589844,0.05243782326579094,9.576965704949869,False,True,-387163.9375
129,10/29 12:08:58,1062,-68661.15766272423,0.05200476944446564,-0.12173505872488022,25.387473498719388,False,True,-984667.625
130,10/29 12:09:27,1783,-84073.9281432376,0.13702936470508575,-0.11888694018125534,11.038237110919884,False,True,-4634106.5
131,10/29 12:09:46,1021,-69757.04356446382,0.042735349386930466,-0.014839282259345055,18.1883663972115,False,True,-2500605.0
132,10/29 12:10:07,1216,-70767.48550997602,0.02905760332942009,-0.10208537429571152,16.392238246634577,False,True,-969048.875
133,10/29 12:10:21,725,-55247.35439766841,-0.11714310944080353,0.027506228536367416,25.575763391744903,False,True,-616346.25
134,10/29 12:11:45,5000,-7023.605400944495,0.09684636443853378,0.009921640157699585,1.686437514520522,False,True,-65783.8046875
135,10/29 12:12:13,1489,-63298.90086380992,0.07026796042919159,-0.13659285008907318,14.333549549153071,False,True,-954376.3125
136,10/29 12:12:20,652,-54259.82724835569,-0.028346991166472435,0.07949405163526535,22.191919283393016,False,True,-1060859.25
137,10/29 12:12:26,328,-53520.372762346466,-0.12416896969079971,0.1328209638595581,18.40867171018669,False,True,-6185900.0
138,10/29 12:12:41,863,-55653.388583578875,-0.08589621633291245,0.006522076204419136,25.061602026323996,False,True,-701152.625
139,10/29 12:13:51,5000,-12276.327158414899,0.03909122943878174,-0.06388673186302185,8.080456544186841,False,True,-495102.96875
140,10/29 12:14:13,1732,-49844.1640900721,0.007270059548318386,0.019422223791480064,17.894673303444556,False,True,-1867362.375
141,10/29 12:14:47,5000,-29469.05498047856,-0.047062527388334274,0.09981667250394821,7.771431735684783,False,True,-558611.1875
142,10/29 12:15:20,5000,-17645.759821572352,0.10772787034511566,0.028110500425100327,11.051015261375516,False,True,-129902.609375
