epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
61,10/30 13:38:49,1110,-118356.4982932798,-0.12773969769477844,0.057189054787158966,22.99036308640811,False,True,0.1399572066699613,0.21234146163396195,-845662.0499177367
62,10/30 13:39:00,1330,-102830.75937735698,0.14022468030452728,0.10628823190927505,6.543461255135976,False,True,0.17595496600845875,0.2121484536189353,-584415.2154956147
63,10/30 13:39:05,432,-100047.2116294927,-0.07122258096933365,-0.1359829157590866,9.420206266073379,False,True,0.15350573558839997,0.11804298479799039,-651749.0128040076
64,10/30 13:39:16,964,-93998.5367577065,0.05478740483522415,0.01574651710689068,29.708237733247454,False,True,0.05700537171208992,0.15506829397512467,-1648941.738902317
65,10/30 13:39:32,1326,-110180.17166436961,0.12668712437152863,-0.02410714514553547,8.61939622810308,False,True,0.12896038854801883,0.0042719524726035196,-854372.206108418
66,10/30 13:39:41,911,-104628.46700708363,0.1262635737657547,-0.03793798014521599,16.356302829062592,False,True,0.13183997819147752,0.018523942098546273,-793601.9744718608
67,10/30 13:39:49,998,-95431.44901170525,0.06978410482406616,-0.07660575211048126,9.36164853700778,False,True,0.10362559001844367,0.003662599914508019,-920925.5068629284
68,10/30 13:39:53,660,-97008.46951621679,0.0085435900837183,-0.08473411202430725,19.962777755662568,False,True,0.08516374038860736,0.07957751492490246,-1139081.8331083301
69,10/30 13:40:03,1421,-108355.29934167024,-0.06869727373123169,0.07218030095100403,8.792897854848496,False,True,0.09964593048261777,0.21222623202701632,-1087403.1565250095
70,10/30 13:40:11,1335,-113185.43600907398,0.12720878422260284,0.04144802689552307,16.597115483066997,False,True,0.13379092806886758,0.01755636751462825,-845987.374800277
